ensembl,gene_exp,Affinity,Class,disease_score,disgenet_score,pathways,kinaseness
ENSP00000228437,0.0,0.0,0.0,0.0,0.0,210.0,1.0
v684,0.0,0.0,0.0,0.0,0.0,125.0,0.0
v161,0.0,0.0,0.0,0.0,0.0,207.0,0.0
v63,1.0,0.0,0.0,0.0,0.0,64.0,0.0
ENSP00000228741,0.0,0.0,0.0,0.0,0.0,56.0,1.0
v186,0.0,0.0,0.0,0.0,0.0,194.0,0.0
v498,0.0,0.0,0.0,0.0,0.0,87.0,0.0
v88,0.0,0.0,0.0,0.0,0.0,63.0,0.0
v118,0.0,0.0,0.0,0.0,0.0,39.0,0.0
ENSP00000229281,0.0,0.0,0.0,0.0,0.0,56.0,1.0
v114,0.0,0.0,0.0,0.0,0.0,117.0,0.0
v843,0.0,0.0,0.0,0.0,0.0,208.0,0.0
v930,0.0,0.0,0.0,0.0,0.0,56.0,0.0
ENSP00000229633,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSP00000229795,0.0,4.792443924,0.0,0.0,0.0,109.0,2.0
ENSP00000229812,0.0,4.176095602,0.0,0.0,0.0,214.0,2.0
v253,0.0,0.0,0.0,0.0,0.0,98.0,0.0
ENSP00000230431,0.0,0.0,0.0,0.0,0.0,237.0,1.0
v20,0.0,0.0,0.0,0.0,0.0,27.0,0.0
v720,0.0,0.0,0.0,0.0,0.0,32.0,0.0
v447,0.0,0.0,0.0,0.0,0.0,114.0,0.0
v231,0.0,0.0,0.0,0.0,0.0,30.0,0.0
ENSP00000230895,0.0,0.0,0.0,0.0,0.0,63.0,1.0
v1151,0.0,0.0,0.0,0.0,0.0,264.0,0.0
v196,0.0,0.0,0.0,0.0,0.0,42.0,0.0
v232,0.0,0.0,0.0,0.0,0.0,120.0,0.0
v517,0.0,0.0,0.0,0.0,0.0,132.0,0.0
v1044,0.0,0.0,0.0,0.0,0.0,174.0,0.0
v11,0.0,0.0,0.0,0.0,0.0,51.0,0.0
v104,0.0,0.0,0.0,0.0,0.0,256.0,0.0
ENSP00000231706,0.0,0.0,0.0,0.0,0.0,44.0,1.0
v384,0.0,0.0,0.0,0.0,0.0,288.0,0.0
v191,0.0,0.0,0.0,0.0,0.0,31.0,0.0
ENSP00000233027,0.0,4.537532803,0.0,0.0,0.0,275.0,2.0
ENSP00000233047,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSP00000233055,0.0,0.0,0.0,0.0,0.0,203.0,1.0
ENSP00000233057,0.0,5.886056647999999,0.0,0.0,0.0,62.0,2.0
ENSP00000233099,0.0,0.0,0.0,0.0,0.0,40.0,1.0
v681,0.0,0.0,0.0,0.0,0.0,101.0,0.0
ENSP00000233557,0.0,0.0,0.0,0.0,0.0,81.0,2.0
ENSP00000233735,0.0,0.0,0.0,0.0,0.0,17.0,1.0
v162,0.0,0.0,0.0,0.0,0.0,273.0,0.0
ENSP00000234195,1.0,0.0,0.0,0.0,0.0,0.0,1.0
v872,0.0,0.0,0.0,0.0,0.0,210.0,0.0
v326,0.0,0.0,0.0,0.0,0.0,229.0,0.0
ENSP00000234798,0.0,0.0,0.0,0.0,0.0,138.0,1.0
v1034,0.0,0.0,0.0,0.0,0.0,247.0,0.0
ENSP00000235332,0.0,0.0,0.0,0.0,0.0,55.0,1.0
v781,0.0,0.0,0.0,0.0,0.0,249.0,0.0
ENSP00000235382,0.0,0.0,0.0,0.0,0.0,109.0,1.0
ENSP00000235532,0.0,0.0,0.0,0.0,0.0,0.0,1.0
v702,0.0,0.0,0.0,0.0,0.0,3.0,0.0
v464,0.0,0.0,0.0,0.0,0.0,29.0,0.0
ENSP00000237275,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSP00000237353,1.0,0.0,0.0,0.0,0.0,0.0,1.0
v722,0.0,0.0,0.0,0.0,0.0,66.0,0.0
v942,0.0,0.0,0.0,0.0,0.0,129.0,0.0
v455,0.0,0.0,0.0,0.0,0.0,150.0,0.0
ENSP00000238561,0.0,0.0,0.0,0.0,0.0,105.0,2.0
ENSP00000238616,0.0,4.725365201000001,0.0,0.0,0.0,124.0,2.0
v409,0.0,0.0,0.0,0.0,0.0,63.0,0.0
v489,0.0,0.0,0.0,0.0,0.0,25.0,0.0
v686,0.0,0.0,0.0,0.0,0.0,208.0,0.0
v377,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v116,0.0,0.0,0.0,0.0,0.0,22.0,0.0
ENSP00000239449,0.0,0.0,0.0,0.0,0.0,105.0,1.0
ENSP00000239450,0.0,0.0,0.0,0.0,0.0,19.0,1.0
v847,0.0,0.0,0.0,0.0,0.0,115.0,0.0
v1106,0.0,0.0,0.0,0.0,0.0,148.0,0.0
v1032,0.0,0.0,0.0,0.0,0.0,215.0,0.0
ENSP00000240361,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ENSP00000240364,0.0,0.0,0.0,0.0,0.0,37.0,1.0
v743,0.0,0.0,0.0,0.0,0.0,275.0,0.0
ENSP00000240874,0.0,0.0,0.0,0.0,0.0,203.0,2.0
v385,0.0,0.0,0.0,0.0,0.0,8.0,0.0
v154,0.0,0.0,0.0,0.0,0.0,273.0,0.0
v386,0.0,0.0,0.0,0.0,0.0,106.0,0.0
ENSP00000241416,0.0,0.0,0.0,0.0,0.0,64.0,2.0
ENSP00000241453,0.0,5.75971342,0.0,0.0,0.0,109.0,2.0
v665,1.0,0.0,0.0,0.0,0.0,64.0,0.0
ENSP00000242315,1.0,0.0,0.0,0.0,0.0,98.0,1.0
ENSP00000242351,-1.0,0.0,0.0,0.0,0.0,62.0,1.0
v595,0.0,0.0,0.0,0.0,0.0,281.0,0.0
v426,0.0,0.0,0.0,0.0,0.0,84.0,0.0
ENSP00000243349,0.0,0.0,0.0,0.0,0.0,109.0,2.0
v387,-1.0,0.0,0.0,0.0,0.0,84.0,0.0
v10,-1.0,0.0,0.0,0.0,0.0,40.0,0.0
ENSP00000244051,-1.0,0.0,0.0,0.0,0.0,34.0,1.0
v403,-1.0,0.0,0.0,0.0,0.0,21.0,0.0
v388,-1.0,0.0,0.0,0.0,0.0,105.0,0.0
ENSP00000244314,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSP00000244537,1.0,0.0,0.0,0.0,0.0,210.0,1.0
v564,0.0,0.0,0.0,0.0,0.0,12.0,0.0
v205,-1.0,0.0,0.0,0.0,0.0,81.0,0.0
v1091,0.0,0.0,0.0,0.0,0.0,109.0,0.0
v497,0.0,0.0,0.0,0.0,0.0,24.0,0.0
v201,0.0,0.0,0.0,0.0,0.0,140.0,0.0
ENSP00000245323,1.0,0.0,0.0,0.0,0.0,129.0,1.0
ENSP00000245503,0.0,0.0,0.0,0.0,0.0,3.0,1.0
v303,0.0,0.0,0.0,0.0,0.0,55.0,0.0
v400,0.0,0.0,0.0,0.0,0.0,11.0,0.0
v203,0.0,0.0,0.0,0.0,0.0,99.0,0.0
v535,0.0,0.0,0.0,0.0,0.0,46.0,0.0
ENSP00000246151,0.0,0.0,0.0,0.0,0.0,150.0,1.0
v784,0.0,0.0,0.0,0.0,0.0,58.0,0.0
v93,0.0,0.0,0.0,0.0,0.0,131.0,0.0
v780,0.0,0.0,0.0,0.0,0.0,60.0,0.0
v85,0.0,0.0,0.0,0.0,0.0,106.0,0.0
ENSP00000246553,0.0,0.0,0.0,0.0,0.0,17.0,1.0
v42,0.0,0.0,0.0,0.0,0.0,5.0,0.0
ENSP00000246801,0.0,0.0,0.0,0.0,0.0,275.0,1.0
